i,birth,death,dim,nodes
296,1993,2100,2,Transparency (optics);Optical communication;Fiber optics
297,1993,2100,2,Aberration in optical systems;Normal lens;Aspheric lens
298,1993,2100,2,Collimated light;Optical axis;Mirror
299,1993,2100,2,Optical fiber;Evanescent wave;Total internal reflection
300,1994,2100,2,Polarization (waves);Interference (wave propagation);Filter (optics)
301,1994,2100,2,Refraction;Lens (optics);Optical aberration
302,1994,2100,2,Refraction;Caustic (optics);Optical aberration
303,1994,2100,2,Diffraction;Focus (optics);Zone plate
304,1994,2100,2,Refractive index;Reflection (optics);Anti-reflective coating
305,1994,2100,2,Geometrical optics;Focus (optics);Optical aberration
306,1994,2100,2,Reflection (optics);Thin-film optics;Mirror
307,1994,2100,2,Focus (optics);Fresnel number;Optical aberration
308,1994,2100,2,Optical coating;Thin-film optics;Filter (optics)
309,1995,2100,2,Optical phenomenon;Refraction;Caustic (optics)
310,1995,2100,2,Geometrical optics;Optical aberration;Focal point (optics)
311,1995,2100,2,Geometrical optics;Optical aberration;Principal focus
312,1995,2100,2,Ray (optics);Circle of confusion;Focal point (optics)
313,1995,2100,2,Ray (optics);Circle of confusion;Principal focus
314,2000,2100,2,Diffraction;Airy disk;Focus (optics)
315,2001,2100,2,Lens (optics);Airy disk;Spatial filter
316,2001,2100,2,Lens (optics);Gaussian beam;Spatial filter
317,2001,2100,2,Focal length;Focus (optics);Spatial filter
318,2002,2100,2,Polarization (waves);Prism (optics);Optical resonator
319,2002,2100,2,Polarization (waves);Gaussian beam;Optical resonator
320,2002,2100,2,Laser;Diffraction;Optical resonator
321,2002,2100,2,Laser;Mirror;Optical resonator
322,2002,2100,2,Refractive index;Brewster's angle;Optical resonator
323,2002,2100,2,Prism (optics);Diffraction grating;Optical resonator
324,2003,2100,2,Optics;Mirror;Modelocking
325,2003,2100,2,Laser;Laser applications;Modelocking
326,2005,2100,2,Diffraction;Interference (wave propagation);Atom optics
327,2018,2100,2,Polarization (waves);Dichroism;Multilayer optics
328,2018,2100,2,Laser;Mirror;Multilayer optics
329,2018,2100,2,Thin-film optics;Mirror;Multilayer optics
330,1914,2100,3,Light;Ultraviolet;Optics;Electromagnetic wave
331,1964,2100,3,Infrared;Optics;Visible light;Electromagnetic wave
332,1964,2100,3,Speed of light;Radio wave;Visible light;Electromagnetic wave
333,1993,2100,3,Optics;Diffraction;Aberration in optical systems;Ray (optics)
334,1993,2100,3,Photon;Visible light;Refraction;Absorption (optics)
335,1993,2100,3,Photon;Visible light;Photoelectric effect;Absorption (optics)
336,1995,2100,3,Photon;Visible light;Optical phenomenon;Refraction
