i,birth,death,dim,cavity,death_nodes
415,1966,2100,2,Noun phrase;Adpositional phrase;Postposition,
416,1966,2100,2,Adjunct (grammar);Adpositional phrase;Postposition,
417,1966,2100,2,Adverbial;Verb;Postposition,
418,1966,2100,2,Copula (linguistics);Verb;Postposition,
419,1966,2100,2,Subject–object–verb;Verb;Postposition,
420,1966,2100,2,Verb;Dative case;Vowel stems,
421,1967,2100,2,Morpheme;Analytic language;Postposition,
422,1967,2100,2,Inflection;Fusional language;Analytic language,
423,1967,2100,2,Declension;Word;Analytic language,
424,1967,2100,2,Grammatical gender;Verb;Syntactic categories,
425,1967,2100,2,Preposition;Article (grammar);Analytic language,
426,1967,2100,2,Preposition;Uninflected word;Analytic language,
427,1967,2100,2,Preposition;Grammatical particle;Analytic language,
428,1967,2100,2,Article (grammar);Analytic language;Postposition,
429,1967,2100,2,Uninflected word;Analytic language;Postposition,
430,1967,2100,2,Grammatical particle;Analytic language;Postposition,
431,1969,2100,2,Word;Syllabary;Writing systems,
432,1969,2100,2,Word;Syllabary;Linguistics basic topics,
433,1991,2100,2,Mora (linguistics);Optimality theory;Phonemics,
434,2019,2100,2,Language families and languages;Dialect;Historical-comparative linguistics,
435,2020,2100,2,Grammar;Orthography;Writing,
436,2020,2100,2,Morphology (linguistics);Orthography;Writing systems,
437,2020,2100,2,List of linguistic topics;Orthography;Word,
438,2020,2100,2,Orthography;Word;Linguistics basic topics,
439,2020,2100,2,Orthography;Dialect;Standard language,
440,2020,2100,2,Phoneme;Tonal language;Minimal pair,
441,2020,2100,2,Grammatical mood;Indo-european languages;Tonal language,
442,2020,2100,2,Indo-european languages;Comparative method;Areal feature (linguistics),
443,2021,2100,2,Grammar;Variety (linguistics);Idiolect,
444,2021,2100,2,Corpus linguistics;List of cognitive science topics;Linguistic layers,
445,2021,2100,2,List of linguistic topics;Orthography;List of cognitive science topics,
446,2021,2100,2,Orthography;List of cognitive science topics;Linguistics basic topics,
447,2021,2100,2,Stratificational linguistics;List of cognitive science topics;Linguistic layers,
448,2021,2100,2,Vowel;Prosody (linguistics);Diacritic,
449,2022,2100,2,Linguistic typology;Machine translation;Unsolved problems in linguistics,
450,2022,2100,2,Dialect;Idiolect;Unsolved problems in linguistics,
451,2023,2100,2,Lateral consonant;Liquid consonant;Rhotics,
452,1900,2100,3,Theoretical linguistics;Morphology (linguistics);Linguist;Linguistics basic topics,
453,1931,2100,3,Psycholinguistics;Neurolinguistics;Linguist;Linguistics basic topics,
454,1931,2100,3,Psycholinguistics;Linguist;Sentence (linguistics);Linguistics basic topics,
455,1932,2100,3,Psycholinguistics;Computational linguistics;List of linguistic topics;Linguist,
456,1932,2100,3,Psycholinguistics;Computational linguistics;Linguist;Linguistics basic topics,
457,1960,2100,3,Semantics;Grammar;List of linguistic topics;Linguist,
458,1960,2100,3,Semantics;Grammar;Linguist;Linguistics basic topics,
459,1960,2100,3,Semantics;Linguist;Etymology;Linguistics basic topics,
460,1961,2100,3,Truth condition;Linguist;Sentence (linguistics);Linguistics basic topics,
461,1964,2100,3,Linguist;Lexical semantics;Lexicon;Linguistics basic topics,
462,1967,2100,3,Verb;Adverb;Function word;Syntactic categories,
463,2021,2100,3,Historical linguistics;Etymology;List of cognitive science topics;Linguistic layers,
